Article_id,Title,Description,Date,Category,URL
0,Fire at Vaishno Devi shrine complex; cash counter damaged,"No one was injured in the fire, which broke out from the structure adjoining the 'Bhawan' (sanctum sanctorum), the officials said.","June 8, 2021 7:28:32 pm",India,https://indianexpress.com/article/india/vaishno-devi-jammu-fire-7349829/
1,"Had not gone to meet Nawaz Sharif, says Uddhav Thackeray as he plays down one-on-one meeting with PM Modi","Uddhav Thackeray led a delegation of his cabinet colleagues comprising his deputy Ajit Pawar, a senior NCP leader, and Congress' Ashok Chavan to meet Narendra Modi and discuss issues pertaining to the state.","June 8, 2021 6:56:40 pm",India,https://indianexpress.com/article/india/had-not-gone-to-meet-nawaz-sharif-says-uddhav-thackeray-as-he-plays-down-one-on-one-meeting-with-pm-modi-7349795/
2,Corruption case: Former Haryana I-T deputy commissioner gets 4 years in prison,"It was in 2016 that the CBI had arrested Nitin Garg deployed in Sirsa at the time, for accepting a bribe of Rs two lakh from a private firm proprietor for giving relief while levying penalty.","June 8, 2021  6:25:24 pm",India,https://indianexpress.com/article/india/corruption-case-former-haryana-i-t-deputy-commissioner-gets-4-years-in-prison-7349752/
3,Kannur MP K Sudhakaran appointed chief of Congress in Kerala,"Sudhakaran will replace Ramachandran who had apprised the national leadership of his desire to step down, taking responsibility for the party's debacle in the recent Assembly elections.","June 8, 2021  5:04:40 pm",India,https://indianexpress.com/article/india/sudhakaran-appointed-chief-of-congress-in-kerala-7349696/
4,"Kerala girl of Class 5 writes to CJI, lauds SC for saving lives in fight with Covid","Chief Justice N V Ramana responded to the Class V student of Kerala, Lidwina Joseph, giving her best wishes for her ""beautiful letter"" and ""heart-warming illustration of a judge at work"".","June 8, 2021  4:43:10 pm",India,https://indianexpress.com/article/india/kerala-girl-of-class-5-writes-to-cji-lauds-sc-for-saving-lives-in-fight-with-covid-7349677/
5,Madhya Pradesh govt gets HC notice on communal clashes during fundraising for Ram temple,"Hearing a petition on the matter filed by former chief minister Digvijaya Singh, the HC asked the government to respond in six weeks on the alleged negligence in curbing communal clashes in Ujjain, Indore and Mandsaur.","June 8, 2021  4:10:12 pm",India,https://indianexpress.com/article/india/mp-hc-seeks-govt-response-on-clashes-in-indore-ujjain-mandsaur-7349546/
6,"Uddhav Thackeray meets PM Modi; discusses Maratha quota issue, GST compensation","Deputy Chief Minister and senior NCP leader Ajit Pawar, and senior Congress leader Ashok Chavan accompanied the Maharashtra Chief Minister.","June 8, 2021 2:25:23 pm",India,https://indianexpress.com/article/india/maharashtra-cm-uddhav-thackeray-pm-modi-maratha-quota-gst-compensation-7349474/
7,"New Covid-19 vaccination guidelines out, allocation based on state population","As per the revised guidelines, the Centre will buy 75 per cent of doses from vaccine makers, including 25 per cent of the state quota, and give it for free to state governments.","June 8, 2021  4:27:29 pm",India,https://indianexpress.com/article/india/govt-releases-revised-covid-19-vaccination-guidelines-7349408/
8,"Dantewada: 24-year-old tribal woman killed in ‘maoist encounter’; family claims it was staged, alleges rape","The victim's mother alleged she was raped, and claimed her body was mutilated when it was handed to them.","June 8, 2021  2:53:00 pm",India,https://indianexpress.com/article/india/chhattisgarh-geedam-maoist-encounter-alleged-rape-7349199/
9,Fire at TMC MLA Madan Mitra’s residence in Kolkata,Mitra along with his family members rushed out of the house as soon as the fire was spotted in a room on the ground floor. A visibly shaken Mitra was seen sitting outside the house.,"June 8, 2021 12:53:24 pm",India,https://indianexpress.com/article/india/fire-madan-mitras-residence-kolkata-7349336/
10,"Why govt used COVID-19 data as ‘propaganda tool’ rather than to stop virus, asks Priyanka Gandhi","Congress leader Priyanka Gandhi Vadra, in her posers to the Centre, she asked why there is such a massive deficit between official death data of Covid and unofficial data gathered from crematoriums, graveyards and other sources.","June 8, 2021 12:21:43 pm",India,https://indianexpress.com/article/india/govt-covid-19-data-propaganda-tool-than-stop-virus-priyanka-gandhi-7349327/
